,protocol_type,flag,Attack_Binomial,land,logged_in,root_shell,su_attempted,is_host_login,is_guest_login
57,tcp,S0,1,0,0,0,0,0,0
58,tcp,S0,1,0,0,0,0,0,0
59,udp,SF,0,0,0,0,0,0,0
60,tcp,SF,0,0,1,0,0,0,0
61,tcp,REJ,1,0,0,0,0,0,0
62,tcp,REJ,1,0,0,0,0,0,0
63,tcp,SF,0,0,1,0,0,0,0
64,tcp,REJ,1,0,0,0,0,0,0
65,tcp,SF,0,0,1,0,0,0,0
66,tcp,RSTR,1,0,0,0,0,0,0
67,tcp,S0,1,0,0,0,0,0,0
68,tcp,REJ,1,0,0,0,0,0,0
69,tcp,S0,1,0,0,0,0,0,0
70,tcp,SF,0,0,1,0,0,0,0
71,tcp,S0,1,0,0,0,0,0,0
72,icmp,SF,0,0,0,0,0,0,0
73,udp,SF,0,0,0,0,0,0,0
74,tcp,S0,1,0,0,0,0,0,0
75,tcp,SF,0,0,1,0,0,0,0
76,tcp,S0,1,0,0,0,0,0,0
77,tcp,SF,0,0,1,0,0,0,0
78,tcp,SF,0,0,1,0,0,0,0
79,tcp,REJ,1,0,0,0,0,0,0
80,tcp,SF,0,0,1,0,0,0,0
81,tcp,REJ,1,0,0,0,0,0,0
82,tcp,S0,1,0,0,0,0,0,0
83,icmp,SF,1,0,0,0,0,0,0
84,tcp,SF,0,0,1,0,0,0,0
85,tcp,S0,1,0,0,0,0,0,0
86,tcp,SF,0,0,1,0,0,0,0
87,tcp,S0,1,0,0,0,0,0,0
88,tcp,REJ,1,0,0,0,0,0,0
89,udp,SF,0,0,0,0,0,0,0
90,tcp,SF,0,0,1,0,0,0,0
91,tcp,SF,0,0,1,0,0,0,0
92,udp,SF,0,0,0,0,0,0,0
93,tcp,REJ,1,0,0,0,0,0,0
94,tcp,S0,1,0,0,0,0,0,0
95,tcp,SF,0,0,1,0,0,0,0
96,udp,SF,0,0,0,0,0,0,0
97,tcp,SF,0,0,1,0,0,0,0
98,udp,SF,0,0,0,0,0,0,0
99,tcp,S0,1,0,0,0,0,0,0
100,tcp,SF,0,0,0,0,0,0,0
101,tcp,SF,0,0,1,0,0,0,0
102,tcp,REJ,0,0,0,0,0,0,0
103,tcp,SF,0,0,1,0,0,0,0
104,udp,SF,1,0,0,0,0,0,0
105,tcp,SF,0,0,1,0,0,0,0
106,tcp,SF,0,0,1,0,0,0,0
107,tcp,SF,0,0,1,0,0,0,0
108,tcp,SF,0,0,1,0,0,0,0
109,tcp,REJ,0,0,0,0,0,0,0
110,tcp,SF,0,0,1,0,0,0,0
111,tcp,SF,0,0,1,0,0,0,0
112,tcp,REJ,0,0,0,0,0,0,0
113,tcp,SF,0,0,1,0,0,0,0
114,tcp,SF,0,0,1,0,0,0,0
115,tcp,RSTR,1,0,0,0,0,0,0
116,tcp,REJ,1,0,0,0,0,0,0
117,udp,SF,0,0,0,0,0,0,0
118,tcp,SF,0,0,1,0,0,0,0
119,tcp,SF,0,0,1,0,0,0,0
120,tcp,REJ,1,0,0,0,0,0,0
121,tcp,REJ,1,0,0,0,0,0,0
122,tcp,S0,1,0,0,0,0,0,0
123,tcp,SF,0,0,1,0,0,0,0
124,tcp,S0,1,0,0,0,0,0,0
125,tcp,SF,0,0,0,0,0,0,0
126,udp,SF,0,0,0,0,0,0,0
127,tcp,SF,0,0,1,0,0,0,0
128,udp,SF,0,0,0,0,0,0,0
129,tcp,SF,0,0,1,0,0,0,1
130,tcp,S0,1,0,0,0,0,0,0
131,tcp,REJ,1,0,0,0,0,0,0
132,tcp,SF,0,0,1,0,0,0,0
133,tcp,SF,0,0,1,0,0,0,0
134,tcp,S0,1,0,0,0,0,0,0
135,tcp,S0,1,0,0,0,0,0,0
136,udp,SF,0,0,0,0,0,0,0
137,tcp,SF,0,0,1,0,0,0,0
138,icmp,SF,1,0,0,0,0,0,0
139,tcp,S0,1,0,0,0,0,0,0
140,tcp,SF,0,0,1,0,0,0,0
141,tcp,REJ,1,0,0,0,0,0,0
142,tcp,REJ,1,0,0,0,0,0,0
143,tcp,SF,0,0,1,0,0,0,0
144,tcp,SF,0,0,1,0,0,0,0
145,tcp,SF,0,0,1,0,0,0,0
146,tcp,SH,1,0,0,0,0,0,0
147,tcp,SF,0,0,1,0,0,0,0
148,tcp,SF,1,0,1,0,0,0,0
149,tcp,S0,1,0,0,0,0,0,0
150,tcp,S0,1,0,0,0,0,0,0
151,tcp,SF,0,0,1,0,0,0,0
152,tcp,S0,1,0,0,0,0,0,0
153,tcp,S0,1,0,0,0,0,0,0
154,tcp,S0,1,0,0,0,0,0,0
155,udp,SF,0,0,0,0,0,0,0
156,tcp,SF,0,0,1,0,0,0,0
157,tcp,S0,1,0,0,0,0,0,0
158,icmp,SF,1,0,0,0,0,0,0
159,tcp,S0,1,0,0,0,0,0,0
160,tcp,SF,0,0,1,0,0,0,0
161,tcp,SF,0,0,1,0,0,0,0
162,udp,SF,0,0,0,0,0,0,0
163,tcp,SF,0,0,1,0,0,0,0
164,tcp,S0,1,0,0,0,0,0,0
165,tcp,RSTR,1,0,0,0,0,0,0
166,tcp,SF,0,0,0,0,0,0,0
167,tcp,SF,0,0,1,0,0,0,0
168,tcp,SF,0,0,0,0,0,0,0
169,tcp,SF,0,0,1,0,0,0,0
170,tcp,S0,1,0,0,0,0,0,0
171,tcp,SF,0,0,1,0,0,0,0
172,icmp,SF,1,0,0,0,0,0,0
173,tcp,REJ,1,0,0,0,0,0,0
174,tcp,S0,1,0,0,0,0,0,0
175,tcp,S0,1,0,0,0,0,0,0
176,tcp,REJ,0,0,0,0,0,0,0
177,tcp,REJ,1,0,0,0,0,0,0
178,udp,SF,1,0,0,0,0,0,0
179,tcp,S0,1,0,0,0,0,0,0
180,icmp,SF,0,0,0,0,0,0,0
181,tcp,SF,0,0,1,0,0,0,0
182,tcp,SF,0,0,0,0,0,0,0
183,tcp,SF,0,0,1,0,0,0,0
184,udp,SF,1,0,0,0,0,0,0
185,tcp,S0,1,0,0,0,0,0,0
186,tcp,S0,1,0,0,0,0,0,0
187,tcp,S0,1,0,0,0,0,0,0
188,tcp,SF,0,0,1,0,0,0,0
189,tcp,SF,0,0,1,0,0,0,0
190,tcp,SF,1,0,1,0,0,0,1
191,tcp,SF,0,0,1,0,0,0,0
192,tcp,S0,1,0,0,0,0,0,0
193,tcp,S0,1,0,0,0,0,0,0
194,tcp,SF,0,0,1,0,0,0,0
195,tcp,SF,0,0,1,0,0,0,0
196,tcp,SF,0,0,1,0,0,0,0
197,tcp,SF,0,0,1,0,0,0,0
198,tcp,REJ,1,0,0,0,0,0,0
199,tcp,SF,0,0,1,0,0,0,0
200,tcp,SF,0,0,1,0,0,0,0
201,tcp,S0,1,0,0,0,0,0,0
202,tcp,SF,0,0,1,0,0,0,0
203,tcp,SF,0,0,1,0,0,0,0
204,tcp,SF,0,0,1,0,0,0,0
205,tcp,SF,0,0,1,0,0,0,0
206,tcp,S0,1,0,0,0,0,0,0
207,tcp,SF,0,0,1,0,0,0,0
208,tcp,SF,0,0,1,0,0,0,0
209,tcp,S0,1,0,0,0,0,0,0
210,tcp,REJ,1,0,0,0,0,0,0
211,icmp,SF,1,0,0,0,0,0,0
212,tcp,S0,1,0,0,0,0,0,0
213,tcp,SF,0,0,1,0,0,0,0
214,tcp,S0,1,0,0,0,0,0,0
215,tcp,S0,1,0,0,0,0,0,0
216,tcp,SF,0,0,1,0,0,0,0
217,tcp,SF,0,0,1,0,0,0,0
218,tcp,SF,0,0,1,0,0,0,0
219,tcp,SF,0,0,1,0,0,0,0
220,tcp,SF,0,0,1,0,0,0,0
221,tcp,S0,1,0,0,0,0,0,0
222,tcp,SF,1,0,1,0,0,0,0
223,tcp,S0,1,0,0,0,0,0,0
224,icmp,SF,1,0,0,0,0,0,0
225,tcp,SF,0,0,1,0,0,0,0
226,tcp,SF,0,0,1,0,0,0,0
227,tcp,S0,1,0,0,0,0,0,0
228,tcp,SF,0,0,1,0,0,0,0
229,tcp,SF,0,0,1,0,0,0,0
230,tcp,SF,0,0,1,0,0,0,0
231,tcp,SF,0,0,1,0,0,0,0
232,icmp,SF,0,0,0,0,0,0,0
233,udp,SF,1,0,0,0,0,0,0
234,udp,SF,0,0,0,0,0,0,0
235,tcp,RSTO,1,0,0,0,0,0,0
236,tcp,S0,1,0,0,0,0,0,0
237,tcp,S0,1,0,0,0,0,0,0
238,tcp,SF,0,0,0,0,0,0,0
239,tcp,SF,0,0,1,0,0,0,0
240,tcp,SF,0,0,1,0,0,0,0
241,icmp,SF,1,0,0,0,0,0,0
242,tcp,S0,1,0,0,0,0,0,0
243,tcp,S0,1,0,0,0,0,0,0
244,tcp,S0,1,0,0,0,0,0,0
245,tcp,SF,0,0,1,0,0,0,0
246,tcp,S0,1,0,0,0,0,0,0
247,icmp,SF,1,0,0,0,0,0,0
248,tcp,S0,1,0,0,0,0,0,0
249,tcp,SF,0,0,1,0,0,0,0
250,icmp,SF,1,0,0,0,0,0,0
251,tcp,SF,0,0,0,0,0,0,0
252,tcp,SF,0,0,1,0,0,0,0
253,tcp,RSTR,1,0,0,0,0,0,0
254,tcp,SH,1,0,0,0,0,0,0
255,icmp,SF,1,0,0,0,0,0,0
256,tcp,SF,0,0,1,0,0,0,0
257,tcp,SF,0,0,1,0,0,0,0
258,tcp,RSTR,1,0,0,0,0,0,0
259,tcp,SF,0,0,1,0,0,0,0
260,tcp,S0,1,0,0,0,0,0,0
261,tcp,SF,0,0,1,0,0,0,0
262,tcp,SF,0,0,1,0,0,0,0
263,tcp,REJ,1,0,0,0,0,0,0
264,tcp,SF,0,0,1,0,0,0,0
265,tcp,SF,0,0,1,0,0,0,0
266,tcp,SF,0,0,1,0,0,0,0
267,tcp,SF,0,0,1,0,0,0,0
268,icmp,SF,1,0,0,0,0,0,0
269,tcp,S0,1,0,0,0,0,0,0
270,tcp,SF,0,0,1,0,0,0,0
271,tcp,REJ,1,0,0,0,0,0,0
272,tcp,REJ,0,0,0,0,0,0,0
273,udp,SF,0,0,0,0,0,0,0
274,tcp,SF,0,0,1,0,0,0,0
275,tcp,SF,0,0,1,0,0,0,0
276,tcp,S0,1,0,0,0,0,0,0
277,tcp,S0,1,0,0,0,0,0,0
278,tcp,SF,0,0,1,0,0,0,0
279,tcp,SF,0,0,1,0,0,0,0
280,tcp,SF,0,0,1,0,0,0,0
281,tcp,S0,1,0,0,0,0,0,0
282,tcp,SF,0,0,1,0,0,0,0
283,tcp,SF,0,0,1,0,0,0,0
284,tcp,S0,1,0,0,0,0,0,0
285,udp,SF,0,0,0,0,0,0,0
286,tcp,S0,1,0,0,0,0,0,0
287,tcp,S0,1,0,0,0,0,0,0
288,tcp,SF,0,0,1,0,0,0,0
289,tcp,RSTR,1,0,0,0,0,0,0
290,tcp,RSTO,0,0,0,0,0,0,0
291,tcp,S0,1,0,0,0,0,0,0
292,tcp,S0,1,0,0,0,0,0,0
293,tcp,SF,0,0,1,0,0,0,0
294,tcp,SF,0,0,1,0,0,0,0
295,tcp,SF,0,0,1,0,0,0,0
296,tcp,SF,0,0,1,0,0,0,0
297,icmp,SF,1,0,0,0,0,0,0
298,udp,SF,0,0,0,0,0,0,0
299,tcp,S0,1,0,0,0,0,0,0
300,tcp,SF,0,0,0,0,0,0,0
301,tcp,REJ,1,0,0,0,0,0,0
302,tcp,S0,1,0,0,0,0,0,0
303,tcp,SF,1,0,1,0,0,0,0
304,tcp,SF,0,0,1,0,0,0,0
305,icmp,SF,1,0,0,0,0,0,0
306,tcp,S0,0,0,0,0,0,0,0
307,tcp,SF,0,0,1,0,0,0,0
308,tcp,RSTR,1,0,0,0,0,0,0
309,tcp,SF,0,0,1,0,0,0,0
310,tcp,S0,1,0,0,0,0,0,0
311,tcp,SF,0,0,1,0,0,0,0
312,tcp,RSTO,1,0,0,0,0,0,0
313,tcp,S0,1,0,0,0,0,0,0
314,tcp,SF,0,0,1,0,0,0,0
315,icmp,SF,1,0,0,0,0,0,0
316,icmp,SF,1,0,0,0,0,0,0
317,tcp,REJ,1,0,0,0,0,0,0
318,udp,SF,0,0,0,0,0,0,0
319,tcp,S0,1,0,0,0,0,0,0
320,tcp,SF,0,0,1,0,0,0,0
321,tcp,S0,1,0,0,0,0,0,0
322,tcp,S0,1,0,0,0,0,0,0
323,tcp,S0,1,0,0,0,0,0,0
324,tcp,SF,0,0,1,0,0,0,0
325,tcp,S0,1,0,0,0,0,0,0
326,tcp,SF,0,0,1,0,0,0,0
327,tcp,SF,0,0,1,0,0,0,0
328,tcp,SF,0,0,1,0,0,0,0
329,udp,SF,0,0,0,0,0,0,0
330,tcp,REJ,1,0,0,0,0,0,0
331,tcp,RSTR,1,0,0,0,0,0,0
332,udp,SF,0,0,0,0,0,0,0
333,tcp,SF,0,0,1,0,0,0,0
334,tcp,S0,1,0,0,0,0,0,0
335,tcp,SF,0,0,1,0,0,0,0
336,tcp,SF,0,0,1,0,0,0,0
337,tcp,SF,0,0,1,0,0,0,0
338,tcp,S0,1,0,0,0,0,0,0
339,tcp,REJ,1,0,0,0,0,0,0
340,tcp,SF,0,0,1,0,0,0,0
341,tcp,S0,1,0,0,0,0,0,0
342,udp,SF,0,0,0,0,0,0,0
343,tcp,SF,0,0,1,0,0,0,0
344,tcp,S0,1,0,0,0,0,0,0
345,icmp,SF,0,0,0,0,0,0,0
346,tcp,S0,1,0,0,0,0,0,0
347,tcp,REJ,0,0,0,0,0,0,0
348,tcp,S0,1,0,0,0,0,0,0
349,tcp,REJ,1,0,0,0,0,0,0
350,tcp,REJ,1,0,0,0,0,0,0
351,tcp,SF,0,0,1,0,0,0,0
352,tcp,S0,1,0,0,0,0,0,0
353,tcp,SF,0,0,1,0,0,0,0
354,tcp,REJ,1,0,0,0,0,0,0
355,tcp,SF,0,0,1,0,0,0,0
356,tcp,S0,1,0,0,0,0,0,0
357,tcp,SF,0,0,1,0,0,0,0
358,tcp,REJ,1,0,0,0,0,0,0
359,tcp,SF,0,0,0,0,0,0,0
360,tcp,SF,0,0,1,0,0,0,0
361,tcp,SF,0,0,1,0,0,0,0
362,tcp,S0,1,0,0,0,0,0,0
363,tcp,REJ,0,0,0,0,0,0,0
364,tcp,SF,0,0,1,0,0,0,0
365,icmp,SF,1,0,0,0,0,0,0
366,tcp,SF,1,0,1,0,0,0,0
367,tcp,SF,0,0,1,0,0,0,0
368,tcp,S0,1,0,0,0,0,0,0
369,tcp,S0,1,0,0,0,0,0,0
370,tcp,SF,0,0,1,0,0,0,0
371,tcp,SF,0,0,1,0,0,0,0
372,tcp,SF,0,0,1,0,0,0,0
373,tcp,S0,1,0,0,0,0,0,0
374,tcp,SF,0,0,1,0,0,0,0
375,tcp,S0,1,0,0,0,0,0,0
376,icmp,SF,0,0,0,0,0,0,0
377,tcp,SF,0,0,1,0,0,0,0
378,udp,SF,0,0,0,0,0,0,0
379,tcp,S0,1,0,0,0,0,0,0
380,udp,SF,0,0,0,0,0,0,0
381,tcp,S0,1,0,0,0,0,0,0
382,tcp,REJ,0,0,0,0,0,0,0
383,tcp,S0,1,0,0,0,0,0,0
384,tcp,S0,1,0,0,0,0,0,0
385,tcp,SF,0,0,1,0,0,0,0
386,tcp,S0,1,0,0,0,0,0,0
387,udp,SF,0,0,0,0,0,0,0
388,tcp,SF,0,0,1,0,0,0,0
389,tcp,SF,0,0,1,0,0,0,0
390,tcp,SF,0,0,1,0,0,0,0
391,udp,SF,0,0,0,0,0,0,0
392,tcp,S0,1,0,0,0,0,0,0
393,tcp,S0,1,0,0,0,0,0,0
394,tcp,S0,1,0,0,0,0,0,0
395,tcp,S0,1,0,0,0,0,0,0
396,tcp,RSTR,1,0,0,0,0,0,0
397,tcp,S0,1,0,0,0,0,0,0
398,icmp,SF,1,0,0,0,0,0,0
399,tcp,SF,0,0,0,0,0,0,0
400,tcp,SF,0,0,1,0,0,0,0
401,tcp,S0,1,0,0,0,0,0,0
402,tcp,SF,0,0,0,0,0,0,0
403,udp,SF,0,0,0,0,0,0,0
404,icmp,SF,1,0,0,0,0,0,0
405,tcp,SF,0,0,1,0,1,0,0
406,tcp,SF,0,0,1,0,0,0,0
407,udp,SF,0,0,0,0,0,0,0
408,tcp,S0,1,0,0,0,0,0,0
409,tcp,S0,1,0,0,0,0,0,0
410,tcp,SF,0,0,1,0,0,0,0
411,tcp,RSTO,1,0,0,0,0,0,0
412,tcp,SF,0,0,1,0,0,0,0
413,tcp,SF,0,0,1,0,0,0,0
414,tcp,S0,1,0,0,0,0,0,0
415,udp,SF,0,0,0,0,0,0,0
416,tcp,REJ,0,0,0,0,0,0,0
417,tcp,S0,1,0,0,0,0,0,0
418,tcp,S0,1,0,0,0,0,0,0
419,tcp,S0,1,0,0,0,0,0,0
420,tcp,SF,0,0,1,0,0,0,0
421,tcp,RSTO,1,0,0,0,0,0,0
422,tcp,S0,1,0,0,0,0,0,0
423,udp,SF,1,0,0,0,0,0,0
424,udp,SF,1,0,0,0,0,0,0
425,tcp,SF,0,0,1,0,0,0,0
426,icmp,SF,1,0,0,0,0,0,0
427,tcp,SF,0,0,1,0,0,0,0
428,tcp,SF,0,0,1,0,0,0,0
429,tcp,REJ,1,0,0,0,0,0,0
430,tcp,SF,0,0,1,0,0,0,0
431,icmp,SF,1,0,0,0,0,0,0
432,tcp,S0,1,0,0,0,0,0,0
433,tcp,SF,0,0,1,0,0,0,0
434,udp,SF,0,0,0,0,0,0,0
435,tcp,SF,0,0,1,0,0,0,0
436,tcp,SF,0,0,1,0,0,0,0
437,tcp,SF,0,0,0,0,0,0,0
438,tcp,SF,0,0,1,0,0,0,0
439,tcp,SF,0,0,1,0,0,0,0
440,tcp,RSTO,1,0,0,0,0,0,0
441,tcp,SF,0,0,1,0,0,0,0
442,tcp,S0,1,0,0,0,0,0,0
443,tcp,S0,1,0,0,0,0,0,0
444,tcp,SF,0,0,1,0,0,0,0
445,tcp,SF,0,0,1,0,0,0,0
446,icmp,SF,1,0,0,0,0,0,0
447,udp,SF,1,0,0,0,0,0,0
448,tcp,S0,1,0,0,0,0,0,0
449,tcp,SF,0,0,1,0,0,0,0
450,udp,SF,0,0,0,0,0,0,0
451,udp,SF,0,0,0,0,0,0,0
452,tcp,S0,1,0,0,0,0,0,0
453,tcp,S0,1,0,0,0,0,0,0
454,tcp,S0,1,0,0,0,0,0,0
455,tcp,SF,0,0,1,0,0,0,0
456,tcp,REJ,1,0,0,0,0,0,0
457,tcp,SF,0,0,1,0,0,0,0
458,tcp,S0,1,0,0,0,0,0,0
459,tcp,S0,1,0,0,0,0,0,0
460,udp,SF,0,0,0,0,0,0,0
461,tcp,SF,0,0,1,0,0,0,0
462,tcp,S0,1,0,0,0,0,0,0
463,tcp,SF,0,0,1,0,0,0,0
464,tcp,SF,0,0,1,0,0,0,0
465,tcp,S0,1,0,0,0,0,0,0
466,tcp,SF,1,0,1,0,0,0,0
467,tcp,S0,1,0,0,0,0,0,0
468,udp,SF,0,0,0,0,0,0,0
469,tcp,SF,0,0,1,0,0,0,0
470,tcp,S0,1,0,0,0,0,0,0
471,icmp,SF,0,0,0,0,0,0,0
472,tcp,REJ,1,0,0,0,0,0,0
473,tcp,SF,0,0,1,0,0,0,0
474,tcp,S0,1,0,0,0,0,0,0
475,tcp,SF,0,0,1,0,0,0,0
476,tcp,SF,0,0,1,0,0,0,0
477,tcp,S0,1,0,0,0,0,0,0
478,icmp,SF,1,0,0,0,0,0,0
479,tcp,SF,0,0,1,0,0,0,0
480,tcp,REJ,1,0,0,0,0,0,0
481,tcp,S0,1,0,0,0,0,0,0
482,tcp,S0,1,0,0,0,0,0,0
483,tcp,SF,0,0,1,0,0,0,0
484,tcp,RSTR,1,0,0,0,0,0,0
485,tcp,SF,0,0,1,0,0,0,0
486,tcp,SF,0,0,1,0,0,0,0
487,tcp,REJ,1,0,0,0,0,0,0
488,tcp,S0,1,0,0,0,0,0,0
489,udp,SF,0,0,0,0,0,0,0
490,tcp,S0,1,0,0,0,0,0,0
491,udp,SF,0,0,0,0,0,0,0
492,udp,SF,0,0,0,0,0,0,0
493,icmp,SF,0,0,0,0,0,0,0
494,tcp,SF,0,0,1,0,0,0,0
495,tcp,S0,1,0,0,0,0,0,0
496,tcp,REJ,0,0,0,0,0,0,0
497,tcp,SF,0,0,1,0,0,0,0
498,tcp,SF,0,0,1,0,0,0,0
499,tcp,SF,0,0,1,0,0,0,0
500,tcp,SF,0,0,1,0,0,0,0
501,tcp,SF,0,0,1,0,0,0,0
502,tcp,S0,1,0,0,0,0,0,0
503,tcp,SF,0,0,1,0,0,0,0
504,udp,SF,0,0,0,0,0,0,0
505,udp,SF,0,0,0,0,0,0,0
506,tcp,SF,1,0,1,0,0,0,1
507,icmp,SF,1,0,0,0,0,0,0
508,udp,SF,0,0,0,0,0,0,0
509,tcp,RSTR,1,0,0,0,0,0,0
510,tcp,SF,0,0,1,0,0,0,0
511,tcp,SF,0,0,1,0,0,0,0
512,tcp,SF,0,0,1,0,0,0,0
513,tcp,SF,0,0,1,0,0,0,0
514,tcp,SF,0,0,1,0,0,0,0
515,icmp,SF,0,0,0,0,0,0,0
516,tcp,S0,1,0,0,0,0,0,0
517,tcp,S0,1,0,0,0,0,0,0
518,tcp,SF,0,0,1,0,0,0,0
519,tcp,SF,0,0,1,0,0,0,0
520,tcp,S0,1,0,0,0,0,0,0
521,tcp,SF,0,0,1,0,0,0,0
522,tcp,S0,1,0,0,0,0,0,0
523,tcp,SF,0,0,1,0,0,0,0
524,udp,SF,0,0,0,0,0,0,0
525,tcp,SF,0,0,1,0,0,0,1
526,tcp,S0,1,0,0,0,0,0,0
527,udp,SF,0,0,0,0,0,0,0
528,tcp,RSTR,1,0,0,0,0,0,0
529,tcp,REJ,1,0,0,0,0,0,0
530,udp,SF,1,0,0,0,0,0,0
531,tcp,S0,1,0,0,0,0,0,0
532,tcp,S0,1,0,0,0,0,0,0
533,udp,SF,0,0,0,0,0,0,0
534,tcp,S0,1,0,0,0,0,0,0
535,tcp,RSTO,0,0,1,0,0,0,0
536,tcp,S0,1,0,0,0,0,0,0
537,tcp,SF,0,0,1,0,0,0,0
538,tcp,S0,1,0,0,0,0,0,0
539,tcp,SF,0,0,1,0,0,0,0
540,tcp,S0,1,0,0,0,0,0,0
541,tcp,S0,1,0,0,0,0,0,0
542,udp,SF,0,0,0,0,0,0,0
543,tcp,SF,0,0,0,0,0,0,0
544,tcp,SF,0,0,1,0,0,0,0
545,tcp,SF,0,0,1,0,0,0,0
546,tcp,SF,0,0,1,0,0,0,0
547,tcp,S0,1,0,0,0,0,0,0
548,udp,SF,0,0,0,0,0,0,0
549,tcp,S0,1,0,0,0,0,0,0
550,tcp,SF,1,0,1,0,0,0,0
551,icmp,SF,1,0,0,0,0,0,0
552,tcp,SF,0,0,1,0,0,0,0
553,tcp,S0,1,0,0,0,0,0,0
554,tcp,REJ,0,0,0,0,0,0,0
555,udp,SF,0,0,0,0,0,0,0
556,tcp,REJ,1,0,0,0,0,0,0
557,tcp,S0,1,0,0,0,0,0,0
558,tcp,REJ,1,0,0,0,0,0,0
559,tcp,S0,1,0,0,0,0,0,0
560,udp,SF,0,0,0,0,0,0,0
561,tcp,RSTO,1,0,0,0,0,0,0
562,tcp,SF,0,0,1,0,0,0,0
563,tcp,SF,0,0,1,0,0,0,0
564,tcp,S0,1,0,0,0,0,0,0
565,tcp,S0,1,0,0,0,0,0,0
566,tcp,SF,0,0,1,0,0,0,0
567,icmp,SF,1,0,0,0,0,0,0
568,tcp,S0,1,0,0,0,0,0,0
569,tcp,SF,0,0,1,0,0,0,0
570,icmp,SF,1,0,0,0,0,0,0
571,tcp,S0,1,0,0,0,0,0,0
572,tcp,S0,1,0,0,0,0,0,0
573,tcp,S0,1,0,0,0,0,0,0
574,tcp,SF,0,0,1,0,0,0,0
575,icmp,SF,0,0,0,0,0,0,0
576,udp,SF,0,0,0,0,0,0,0
577,tcp,S0,1,0,0,0,0,0,0
578,tcp,SF,0,0,1,0,0,0,0
579,udp,SF,0,0,0,0,0,0,0
580,tcp,SF,0,0,1,0,0,0,0
581,tcp,SF,1,0,1,0,0,0,1
582,tcp,REJ,1,0,0,0,0,0,0
583,udp,SF,0,0,0,0,0,0,0
584,tcp,SF,0,0,1,0,0,0,0
585,tcp,SF,0,0,1,0,0,0,0
586,icmp,SF,1,0,0,0,0,0,0
587,tcp,SF,0,0,1,0,0,0,0
588,tcp,SF,0,0,1,0,0,0,0
589,tcp,S0,1,0,0,0,0,0,0
590,tcp,SF,0,0,1,0,0,0,0
591,tcp,RSTR,1,0,0,0,0,0,0
592,tcp,S0,1,0,0,0,0,0,0
593,udp,SF,0,0,0,0,0,0,0
594,tcp,SF,0,0,1,0,0,0,0
595,tcp,S0,1,0,0,0,0,0,0
596,tcp,SF,0,0,0,0,0,0,0
597,tcp,S0,1,0,0,0,0,0,0
598,udp,SF,0,0,0,0,0,0,0
599,tcp,S0,1,0,0,0,0,0,0
600,tcp,S0,1,0,0,0,0,0,0
601,tcp,SF,0,0,1,0,0,0,0
602,tcp,S0,1,0,0,0,0,0,0
